"location","year","sex","total"
"Colombia",1991,"male",798
"Colombia",1992,"female",236
"Colombia",1992,"male",850
"Colombia",1993,"female",214
"Colombia",1993,"male",871
"Colombia",1994,"female",268
"Colombia",1994,"male",930
"Colombia",1995,"female",261
"Colombia",1995,"male",889
"Colombia",1996,"female",258
"Colombia",1996,"male",951
"Colombia",1997,"female",281
"Colombia",1997,"male",961
"Colombia",1998,"female",500
"Colombia",1998,"male",1552
"Colombia",1999,"female",493
"Colombia",1999,"male",1650
"Colombia",2000,"female",543
"Colombia",2000,"male",1815
"Colombia",2001,"female",557
"Colombia",2001,"male",1855
"Colombia",2002,"female",564
"Colombia",2002,"male",1815
"Colombia",2003,"female",577
"Colombia",2003,"male",1692
"Colombia",2004,"female",501
"Colombia",2004,"male",1743
"Colombia",2005,"female",465
"Colombia",2005,"male",1637
"Colombia",2006,"female",460
"Colombia",2006,"male",1717
"Colombia",2007,"female",454
"Colombia",2007,"male",1727
"Colombia",2008,"female",448
"Colombia",2008,"male",1772
"Colombia",2009,"female",447
"Colombia",2009,"male",1802
"Colombia",2010,"female",397
"Colombia",2010,"male",1710
"Colombia",2011,"female",382
"Colombia",2011,"male",1662
"Colombia",2012,"female",387
"Colombia",2012,"male",1732
"Colombia",2013,"female",405
"Colombia",2013,"male",1663
"Colombia",2014,"female",371
"Colombia",2014,"male",1755
"Colombia",2015,"female",482
"Colombia",2015,"male",1850
"Costa Rica",1985,"female",16
"Costa Rica",1985,"male",112
"Costa Rica",1986,"female",13
"Costa Rica",1986,"male",118
"Costa Rica",1987,"female",22
"Costa Rica",1987,"male",97
"Costa Rica",1988,"female",17
"Costa Rica",1988,"male",121
"Costa Rica",1989,"female",31
"Costa Rica",1989,"male",136
"Costa Rica",1990,"female",18
"Costa Rica",1990,"male",139
"Costa Rica",1991,"female",19
"Costa Rica",1991,"male",106
"Costa Rica",1992,"female",23
"Costa Rica",1992,"male",126
"Costa Rica",1993,"female",27
"Costa Rica",1993,"male",137
"Costa Rica",1994,"female",29
"Costa Rica",1994,"male",133
"Costa Rica",1995,"female",36
"Costa Rica",1995,"male",173
"Costa Rica",1996,"female",24
"Costa Rica",1996,"male",185
"Costa Rica",1997,"female",28
"Costa Rica",1997,"male",159
"Costa Rica",1998,"female",23
"Costa Rica",1998,"male",200
"Costa Rica",1999,"female",23
"Costa Rica",1999,"male",210
"Costa Rica",2000,"female",28
"Costa Rica",2000,"male",211
"Costa Rica",2001,"female",28
"Costa Rica",2001,"male",170
"Costa Rica",2002,"female",39
"Costa Rica",2002,"male",236
"Costa Rica",2003,"female",53
"Costa Rica",2003,"male",262
"Costa Rica",2004,"female",44
"Costa Rica",2004,"male",281
"Costa Rica",2005,"female",41
"Costa Rica",2005,"male",231
"Costa Rica",2006,"female",55
"Costa Rica",2006,"male",295
"Costa Rica",2007,"female",44
"Costa Rica",2007,"male",226
"Costa Rica",2008,"female",34
"Costa Rica",2008,"male",227
"Costa Rica",2009,"female",42
"Costa Rica",2009,"male",236
"Costa Rica",2010,"female",43
"Costa Rica",2010,"male",268
"Costa Rica",2011,"female",53
"Costa Rica",2011,"male",263
"Costa Rica",2012,"female",42
"Costa Rica",2012,"male",260
"Costa Rica",2013,"female",39
"Costa Rica",2013,"male",272
"Costa Rica",2014,"female",45
"Costa Rica",2014,"male",223
"Croatia",1995,"female",242
"Croatia",1995,"male",687
"Croatia",1996,"female",263
"Croatia",1996,"male",738
"Croatia",1997,"female",254
"Croatia",1997,"male",692
"Croatia",1998,"female",284
"Croatia",1998,"male",745
"Croatia",1999,"female",273
"Croatia",1999,"male",716
"Croatia",2000,"female",234
"Croatia",2000,"male",692
"Croatia",2001,"female",225
"Croatia",2001,"male",656
"Croatia",2002,"female",230
"Croatia",2002,"male",644
"Croatia",2003,"female",193
"Croatia",2003,"male",672
"Croatia",2004,"female",226
"Croatia",2004,"male",645
"Croatia",2005,"female",223
"Croatia",2005,"male",651
"Croatia",2006,"female",223
"Croatia",2006,"male",573
"Croatia",2007,"female",198
"Croatia",2007,"male",577
"Croatia",2008,"female",184
"Croatia",2008,"male",609
"Croatia",2009,"female",172
"Croatia",2009,"male",618
"Croatia",2010,"female",192
"Croatia",2010,"male",584
"Croatia",2011,"female",182
"Croatia",2011,"male",520
"Croatia",2012,"female",180
"Croatia",2012,"male",596
"Croatia",2013,"female",146
"Croatia",2013,"male",546
"Croatia",2014,"female",186
"Croatia",2014,"male",536
"Croatia",2015,"female",197
"Croatia",2015,"male",542
"Croatia",2016,"female",168
"Croatia",2016,"male",515
"Cuba",1992,"female",966
"Cuba",1992,"male",1333
"Cuba",1993,"female",964
"Cuba",1993,"male",1410
"Cuba",1994,"female",837
"Cuba",1994,"male",1441
"Cuba",1995,"female",813
"Cuba",1995,"male",1409
"Cuba",1996,"female",660
"Cuba",1996,"male",1354
"Cuba",1997,"female",628
"Cuba",1997,"male",1401
"Cuba",1998,"female",655
"Cuba",1998,"male",1401
"Cuba",1999,"female",584
"Cuba",1999,"male",1466
"Cuba",2000,"female",535
"Cuba",2000,"male",1310
"Cuba",2001,"female",449
"Cuba",2001,"male",1203
"Cuba",2002,"female",459
"Cuba",2002,"male",1147
"Cuba",2003,"female",373
"Cuba",2003,"male",1126
"Cuba",2004,"female",371
"Cuba",2004,"male",1144
"Cuba",2005,"female",351
"Cuba",2005,"male",1046
"Cuba",2006,"female",273
"Cuba",2006,"male",1103
"Cuba",2007,"female",266
"Cuba",2007,"male",1041
"Cuba",2008,"female",310
"Cuba",2008,"male",1067
"Cuba",2009,"female",336
"Cuba",2009,"male",1141
"Cuba",2010,"female",329
"Cuba",2010,"male",1229
"Cuba",2011,"female",315
"Cuba",2011,"male",1214
"Cuba",2012,"female",296
"Cuba",2012,"male",1199
"Cuba",2013,"female",298
"Cuba",2013,"male",1201
"Cuba",2014,"female",307
"Cuba",2014,"male",1146
"Cuba",2015,"female",300
"Cuba",2015,"male",1211
"Cyprus",1999,"female",0
"Cyprus",1999,"male",1
"Cyprus",2000,"female",0
"Cyprus",2000,"male",7
"Cyprus",2004,"female",2
"Cyprus",2004,"male",5
"Cyprus",2005,"female",5
"Cyprus",2005,"male",12
"Cyprus",2006,"female",7
"Cyprus",2006,"male",12
"Cyprus",2007,"female",4
"Cyprus",2007,"male",15
"Cyprus",2008,"female",10
"Cyprus",2008,"male",31
"Cyprus",2009,"female",7
"Cyprus",2009,"male",25
"Cyprus",2010,"female",8
"Cyprus",2010,"male",30
"Cyprus",2011,"female",5
"Cyprus",2011,"male",25
"Cyprus",2012,"female",2
"Cyprus",2012,"male",34
"Cyprus",2013,"female",5
"Cyprus",2013,"male",40
"Cyprus",2014,"female",13
"Cyprus",2014,"male",31
"Cyprus",2015,"female",9
"Cyprus",2015,"male",31
"Cyprus",2016,"female",5
"Cyprus",2016,"male",31
"Czech Republic",1990,"female",563
"Czech Republic",1990,"male",1434
"Czech Republic",1991,"female",511
"Czech Republic",1991,"male",1393
"Czech Republic",1992,"female",506
"Czech Republic",1992,"male",1485
"Czech Republic",1993,"female",505
"Czech Republic",1993,"male",1412
"Czech Republic",1994,"female",531
"Czech Republic",1994,"male",1341
"Czech Republic",1995,"female",449
"Czech Republic",1995,"male",1284
"Czech Republic",1996,"female",362
"Czech Republic",1996,"male",1206
"Czech Republic",1997,"female",355
"Czech Republic",1997,"male",1311
"Czech Republic",1998,"female",345
"Czech Republic",1998,"male",1268
"Czech Republic",1999,"female",325
"Czech Republic",1999,"male",1285
"Czech Republic",2000,"female",351
"Czech Republic",2000,"male",1298
"Czech Republic",2001,"female",329
"Czech Republic",2001,"male",1294
"Czech Republic",2002,"female",318
"Czech Republic",2002,"male",1216
"Czech Republic",2003,"female",354
"Czech Republic",2003,"male",1365
"Czech Republic",2004,"female",297
"Czech Republic",2004,"male",1286
"Czech Republic",2005,"female",292
"Czech Republic",2005,"male",1273
"Czech Republic",2006,"female",258
"Czech Republic",2006,"male",1142
"Czech Republic",2007,"female",230
"Czech Republic",2007,"male",1149
"Czech Republic",2008,"female",256
"Czech Republic",2008,"male",1123
"Czech Republic",2009,"female",234
"Czech Republic",2009,"male",1230
"Czech Republic",2010,"female",257
"Czech Republic",2010,"male",1245
"Czech Republic",2011,"female",253
"Czech Republic",2011,"male",1337
"Czech Republic",2012,"female",278
"Czech Republic",2012,"male",1380
"Czech Republic",2013,"female",283
"Czech Republic",2013,"male",1294
"Czech Republic",2014,"female",293
"Czech Republic",2014,"male",1196
"Czech Republic",2015,"female",254
"Czech Republic",2015,"male",1133
"Czech Republic",2016,"female",258
"Czech Republic",2016,"male",1060
"Denmark",1994,"female",319
"Denmark",1994,"male",680
"Denmark",1995,"female",299
"Denmark",1995,"male",625
"Denmark",1996,"female",261
"Denmark",1996,"male",631
"Denmark",1997,"female",257
"Denmark",1997,"male",560
"Denmark",1998,"female",216
"Denmark",1998,"male",547
"Denmark",1999,"female",199
"Denmark",1999,"male",563
"Denmark",2000,"female",195
"Denmark",2000,"male",533
"Denmark",2001,"female",220
"Denmark",2001,"male",507
"Denmark",2002,"female",185
"Denmark",2002,"male",503
"Denmark",2003,"female",153
"Denmark",2003,"male",480
"Denmark",2004,"female",192
"Denmark",2004,"male",469
"Denmark",2005,"female",174
"Denmark",2005,"male",457
"Denmark",2006,"female",178
"Denmark",2006,"male",472
"Denmark",2007,"female",180
"Denmark",2007,"male",401
"Denmark",2008,"female",185
"Denmark",2008,"male",418
"Denmark",2009,"female",145
"Denmark",2009,"male",477
"Denmark",2010,"female",158
"Denmark",2010,"male",405
"Denmark",2011,"female",152
"Denmark",2011,"male",437
"Denmark",2012,"female",167
"Denmark",2012,"male",494
"Denmark",2013,"female",160
"Denmark",2013,"male",450
"Denmark",2014,"female",160
"Denmark",2014,"male",469
"Denmark",2015,"female",174
"Denmark",2015,"male",390
"Dominica",1985,"female",0
"Dominica",1985,"male",0
"Ecuador",1985,"female",114
"Ecuador",1985,"male",279
"Ecuador",1986,"female",131
"Ecuador",1986,"male",246
"Ecuador",1987,"female",131
"Ecuador",1987,"male",259
"Ecuador",1988,"female",142
"Ecuador",1988,"male",324
"Ecuador",1989,"female",164
"Ecuador",1989,"male",267
"Ecuador",1990,"female",153
"Ecuador",1990,"male",295
"Ecuador",1991,"female",189
"Ecuador",1991,"male",305
"Ecuador",1992,"female",172
"Ecuador",1992,"male",333
"Ecuador",1993,"female",222
"Ecuador",1993,"male",352
"Ecuador",1994,"female",171
"Ecuador",1994,"male",341
"Ecuador",1995,"female",180
"Ecuador",1995,"male",366
"Ecuador",1996,"female",197
"Ecuador",1996,"male",396
"Ecuador",1997,"female",189
"Ecuador",1997,"male",390
"Ecuador",1998,"female",173
"Ecuador",1998,"male",373
"Ecuador",1999,"female",190
"Ecuador",1999,"male",426
"Ecuador",2000,"female",163
"Ecuador",2000,"male",371
"Ecuador",2001,"female",185
"Ecuador",2001,"male",399
"Ecuador",2002,"female",180
"Ecuador",2002,"male",397
"Ecuador",2003,"female",222
"Ecuador",2003,"male",453
"Ecuador",2004,"female",236
"Ecuador",2004,"male",555
"Ecuador",2005,"female",260
"Ecuador",2005,"male",683
"Ecuador",2006,"female",298
"Ecuador",2006,"male",602
"Ecuador",2007,"female",274
"Ecuador",2007,"male",731
"Ecuador",2008,"female",255
"Ecuador",2008,"male",673
"Ecuador",2009,"female",245
"Ecuador",2009,"male",719
"Ecuador",2010,"female",254
"Ecuador",2010,"male",658
"Ecuador",2011,"female",264
"Ecuador",2011,"male",654
"Ecuador",2012,"female",265
"Ecuador",2012,"male",711
"Ecuador",2013,"female",186
"Ecuador",2013,"male",490
"Ecuador",2014,"female",167
"Ecuador",2014,"male",567
"Ecuador",2015,"female",266
"Ecuador",2015,"male",807
"El Salvador",1990,"female",196
"El Salvador",1990,"male",375
"El Salvador",1991,"female",154
"El Salvador",1991,"male",320
"El Salvador",1992,"female",147
"El Salvador",1992,"male",272
"El Salvador",1993,"female",152
"El Salvador",1993,"male",272
"El Salvador",1995,"female",202
"El Salvador",1995,"male",418
"El Salvador",1996,"female",168
"El Salvador",1996,"male",372
"El Salvador",1997,"female",198
"El Salvador",1997,"male",379
"El Salvador",1998,"female",167
"El Salvador",1998,"male",345
"El Salvador",1999,"female",169
"El Salvador",1999,"male",346
"El Salvador",2000,"female",142
"El Salvador",2000,"male",319
"El Salvador",2001,"female",152
"El Salvador",2001,"male",362
"El Salvador",2002,"female",132
"El Salvador",2002,"male",304
"El Salvador",2003,"female",139
"El Salvador",2003,"male",388
"El Salvador",2004,"female",115
"El Salvador",2004,"male",349
"El Salvador",2005,"female",118
"El Salvador",2005,"male",337
"El Salvador",2006,"female",118
"El Salvador",2006,"male",293
"El Salvador",2007,"female",112
"El Salvador",2007,"male",389
"El Salvador",2008,"female",116
"El Salvador",2008,"male",374
"El Salvador",2009,"female",113
"El Salvador",2009,"male",393
"El Salvador",2010,"female",95
"El Salvador",2010,"male",304
"El Salvador",2011,"female",118
"El Salvador",2011,"male",367
"El Salvador",2012,"female",116
"El Salvador",2012,"male",396
"El Salvador",2013,"female",98
"El Salvador",2013,"male",386
"El Salvador",2014,"female",108
"El Salvador",2014,"male",278
"Estonia",1995,"female",128
"Estonia",1995,"male",466
"Estonia",1996,"female",112
"Estonia",1996,"male",433
"Estonia",1997,"female",91
"Estonia",1997,"male",431
"Estonia",1998,"female",81
"Estonia",1998,"male",396
"Estonia",1999,"female",93
"Estonia",1999,"male",375
"Estonia",2000,"female",88
"Estonia",2000,"male",289
"Estonia",2001,"female",86
"Estonia",2001,"male",315
"Estonia",2002,"female",72
"Estonia",2002,"male",299
"Estonia",2003,"female",66
"Estonia",2003,"male",276
"Estonia",2004,"female",59
"Estonia",2004,"male",264
"Estonia",2005,"female",53
"Estonia",2005,"male",220
"Estonia",2006,"female",56
"Estonia",2006,"male",191
"Estonia",2007,"female",46
"Estonia",2007,"male",205
"Estonia",2008,"female",53
"Estonia",2008,"male",189
"Estonia",2009,"female",49
"Estonia",2009,"male",220
"Estonia",2010,"female",42
"Estonia",2010,"male",181
"Estonia",2011,"female",40
"Estonia",2011,"male",178
"Estonia",2012,"female",47
"Estonia",2012,"male",190
"Estonia",2013,"female",47
"Estonia",2013,"male",171
"Estonia",2014,"female",48
"Estonia",2014,"male",193
"Estonia",2015,"female",36
"Estonia",2015,"male",159
"Fiji",2001,"female",8
"Fiji",2001,"male",28
"Fiji",2002,"female",16
"Fiji",2002,"male",26
"Fiji",2003,"female",4
"Fiji",2003,"male",6
"Fiji",2004,"female",8
"Fiji",2004,"male",16
"Fiji",2005,"female",6
"Fiji",2005,"male",16
"Fiji",2006,"female",9
"Fiji",2006,"male",15
"Fiji",2007,"female",3
"Fiji",2007,"male",10
"Fiji",2008,"female",12
"Fiji",2008,"male",25
"Fiji",2009,"female",7
"Fiji",2009,"male",19
"Fiji",2011,"female",8
"Fiji",2011,"male",30
"Fiji",2012,"female",10
"Fiji",2012,"male",22
"Finland",1987,"female",298
"Finland",1987,"male",1065
"Finland",1988,"female",295
"Finland",1988,"male",1107
"Finland",1989,"female",295
"Finland",1989,"male",1118
"Finland",1990,"female",319
"Finland",1990,"male",1193
"Finland",1991,"female",303
"Finland",1991,"male",1190
"Finland",1992,"female",295
"Finland",1992,"male",1156
"Finland",1993,"female",291
"Finland",1993,"male",1106
"Finland",1994,"female",307
"Finland",1994,"male",1080
"Finland",1995,"female",308
"Finland",1995,"male",1080
"Finland",1996,"female",282
"Finland",1996,"male",965
"Finland",1997,"female",284
"Finland",1997,"male",1038
"Finland",1998,"female",266
"Finland",1998,"male",962
"Finland",1999,"female",253
"Finland",1999,"male",954
"Finland",2000,"female",292
"Finland",2000,"male",873
"Finland",2001,"female",271
"Finland",2001,"male",933
"Finland",2002,"female",271
"Finland",2002,"male",824
"Finland",2003,"female",260
"Finland",2003,"male",815
"Finland",2004,"female",252
"Finland",2004,"male",812
"Finland",2005,"female",270
"Finland",2005,"male",724
"Finland",2006,"female",259
"Finland",2006,"male",803
"Finland",2007,"female",244
"Finland",2007,"male",751
"Finland",2008,"female",232
"Finland",2008,"male",801
"Finland",2009,"female",273
"Finland",2009,"male",761
"Finland",2010,"female",236
"Finland",2010,"male",718
"Finland",2011,"female",202
"Finland",2011,"male",710
"Finland",2012,"female",218
"Finland",2012,"male",655
"Finland",2013,"female",221
"Finland",2013,"male",666
"Finland",2014,"female",190
"Finland",2014,"male",599
"Finland",2015,"female",173
"Finland",2015,"male",558
"France",1985,"female",3603
"France",1985,"male",8898
"France",1986,"female",3657
"France",1986,"male",8872
"France",1987,"female",3574
"France",1987,"male",8587
"France",1988,"female",3365
"France",1988,"male",8234
"France",1989,"female",3372
"France",1989,"male",8343
"France",1990,"female",3225
"France",1990,"male",8178
"France",1991,"female",3281
"France",1991,"male",8221
"France",1992,"female",3202
"France",1992,"male",8442
"France",1993,"female",3390
"France",1993,"male",8861
"France",1994,"female",3169
"France",1994,"male",8872
"France",1995,"female",3214
"France",1995,"male",8605
"France",1996,"female",3105
"France",1996,"male",8174
"France",1997,"female",3040
"France",1997,"male",8099
"France",1998,"female",2763
"France",1998,"male",7771
"France",1999,"female",2841
"France",1999,"male",7427
"France",2000,"female",2874
"France",2000,"male",7975
"France",2001,"female",2789
"France",2001,"male",7660
"France",2002,"female",2915
"France",2002,"male",7728
"France",2003,"female",2833
"France",2003,"male",8038
"France",2004,"female",2949
"France",2004,"male",7855
"France",2005,"female",2884
"France",2005,"male",7829
"France",2006,"female",2830
"France",2006,"male",7593
"France",2007,"female",2708
"France",2007,"male",7419
"France",2008,"female",2734
"France",2008,"male",7619
"France",2009,"female",2734
"France",2009,"male",7765
"France",2010,"female",2738
"France",2010,"male",7641
"France",2011,"female",2618
"France",2011,"male",7790
"France",2012,"female",2417
"France",2012,"male",7326
"France",2013,"female",2375
"France",2013,"male",7225
"France",2014,"female",2220
"France",2014,"male",6661
"Georgia",1990,"female",56
"Georgia",1990,"male",140
"Georgia",1991,"female",51
"Georgia",1991,"male",123
"Georgia",1992,"female",53
"Georgia",1992,"male",151
"Georgia",1994,"female",33
"Georgia",1994,"male",90
"Georgia",1995,"female",32
"Georgia",1995,"male",106
"Georgia",1996,"female",38
"Georgia",1996,"male",124
"Georgia",1997,"female",35
"Georgia",1997,"male",141
"Georgia",1998,"female",30
"Georgia",1998,"male",118
"Georgia",1999,"female",42
"Georgia",1999,"male",147
"Georgia",2000,"female",28
"Georgia",2000,"male",102
"Georgia",2001,"female",27
"Georgia",2001,"male",73
"Georgia",2004,"female",28
"Georgia",2004,"male",147
"Georgia",2005,"female",18
"Georgia",2005,"male",69
"Georgia",2006,"female",13
"Georgia",2006,"male",59
"Georgia",2007,"female",20
"Georgia",2007,"male",84
"Georgia",2009,"female",39
"Georgia",2009,"male",149
"Georgia",2010,"female",16
"Georgia",2010,"male",96
"Georgia",2011,"female",15
"Georgia",2011,"male",84
"Georgia",2012,"female",13
"Georgia",2012,"male",91
"Georgia",2013,"female",23
"Georgia",2013,"male",134
"Georgia",2014,"female",36
"Georgia",2014,"male",158
"Georgia",2015,"female",48
"Georgia",2015,"male",144
"Germany",1990,"female",4390
"Germany",1990,"male",9534
"Germany",1991,"female",4354
"Germany",1991,"male",9656
"Germany",1992,"female",4132
"Germany",1992,"male",9326
"Germany",1993,"female",3730
"Germany",1993,"male",8960
"Germany",1994,"female",3588
"Germany",1994,"male",9130
"Germany",1995,"female",3666
"Germany",1995,"male",9222
"Germany",1996,"female",3497
"Germany",1996,"male",8728
"Germany",1997,"female",3421
"Germany",1997,"male",8835
"Germany",1998,"female",3073
"Germany",1998,"male",8581
"Germany",1999,"female",3078
"Germany",1999,"male",8082
"Germany",2000,"female",2937
"Germany",2000,"male",8136
"Germany",2001,"female",2971
"Germany",2001,"male",8196
"Germany",2002,"female",3059
"Germany",2002,"male",8117
"Germany",2003,"female",2973
"Germany",2003,"male",8182
"Germany",2004,"female",2795
"Germany",2004,"male",7946
"Germany",2005,"female",2739
"Germany",2005,"male",7531
"Germany",2006,"female",2544
"Germany",2006,"male",7231
"Germany",2007,"female",2397
"Germany",2007,"male",7012
"Germany",2008,"female",2414
"Germany",2008,"male",7045
"Germany",2009,"female",2373
"Germany",2009,"male",7206
"Germany",2010,"female",2559
"Germany",2010,"male",7471
"Germany",2011,"female",2502
"Germany",2011,"male",7651
"Germany",2012,"female",2607
"Germany",2012,"male",7289
"Germany",2013,"female",2635
"Germany",2013,"male",7456
"Germany",2014,"female",2588
"Germany",2014,"male",7629
"Germany",2015,"female",2685
"Germany",2015,"male",7403
"Greece",1985,"female",128
"Greece",1985,"male",277
"Greece",1986,"female",101
"Greece",1986,"male",292
"Greece",1987,"female",114
"Greece",1987,"male",296
"Greece",1988,"female",115
"Greece",1988,"male",288
"Greece",1989,"female",105
"Greece",1989,"male",278
"Greece",1990,"female",78
"Greece",1990,"male",271
"Greece",1991,"female",84
"Greece",1991,"male",297
"Greece",1992,"female",72
"Greece",1992,"male",279
"Greece",1993,"female",104
"Greece",1993,"male",308
"Greece",1994,"female",74
"Greece",1994,"male",281
"Greece",1995,"female",64
"Greece",1995,"male",306
"Greece",1996,"female",62
"Greece",1996,"male",294
"Greece",1997,"female",55
"Greece",1997,"male",319
"Greece",1998,"female",88
"Greece",1998,"male",315
"Greece",1999,"female",85
"Greece",1999,"male",296
"Greece",2000,"female",84
"Greece",2000,"male",298
"Greece",2001,"female",48
"Greece",2001,"male",286
"Greece",2002,"female",66
"Greece",2002,"male",257
"Greece",2003,"female",69
"Greece",2003,"male",306
"Greece",2004,"female",68
"Greece",2004,"male",285
"Greece",2005,"female",79
"Greece",2005,"male",321
"Greece",2006,"female",68
"Greece",2006,"male",326
"Greece",2007,"female",60
"Greece",2007,"male",268
"Greece",2008,"female",65
"Greece",2008,"male",308
"Greece",2009,"female",58
"Greece",2009,"male",333
"Greece",2010,"female",41
"Greece",2010,"male",336
"Greece",2011,"female",84
"Greece",2011,"male",393
"Greece",2012,"female",91
"Greece",2012,"male",417
"Greece",2013,"female",108
"Greece",2013,"male",425
"Greece",2014,"female",115
"Greece",2014,"male",450
"Greece",2015,"female",107
"Greece",2015,"male",422
"Grenada",1985,"female",0
"Grenada",1985,"male",1
"Grenada",1988,"female",1
"Grenada",1988,"male",3
"Grenada",1989,"female",0
"Grenada",1989,"male",4
"Grenada",1990,"female",0
"Grenada",1990,"male",2
"Grenada",1991,"female",0
"Grenada",1991,"male",0
"Grenada",1992,"female",0
"Grenada",1992,"male",0
"Grenada",1993,"female",0
"Grenada",1993,"male",3
"Grenada",1994,"female",0
"Grenada",1994,"male",4
"Grenada",1995,"female",1
"Grenada",1995,"male",0
"Grenada",1996,"female",0
"Grenada",1996,"male",1
"Grenada",2001,"female",0
"Grenada",2001,"male",0
"Grenada",2002,"female",0
"Grenada",2002,"male",0
"Grenada",2003,"female",0
"Grenada",2003,"male",4
"Grenada",2004,"female",0
"Grenada",2004,"male",1
"Grenada",2005,"female",1
"Grenada",2005,"male",5
"Grenada",2006,"female",0
"Grenada",2006,"male",1
"Grenada",2007,"female",1
"Grenada",2007,"male",2
"Grenada",2008,"female",0
"Grenada",2008,"male",0
"Grenada",2009,"female",0
"Grenada",2009,"male",0
"Grenada",2010,"female",0
"Grenada",2010,"male",0
"Grenada",2011,"female",0
"Grenada",2011,"male",1
"Grenada",2012,"female",0
"Grenada",2012,"male",2
"Grenada",2013,"female",0
"Grenada",2013,"male",0
"Grenada",2014,"female",0
"Grenada",2014,"male",0
"Grenada",2015,"female",0
"Grenada",2015,"male",0
"Grenada",2016,"female",0
"Grenada",2016,"male",0
"Guatemala",1986,"female",36
"Guatemala",1986,"male",167
"Guatemala",1987,"female",57
"Guatemala",1987,"male",184
"Guatemala",1988,"female",31
"Guatemala",1988,"male",143
"Guatemala",1989,"female",30
"Guatemala",1989,"male",122
"Guatemala",1990,"female",27
"Guatemala",1990,"male",131
"Guatemala",1991,"female",32
"Guatemala",1991,"male",124
"Guatemala",1992,"female",38
"Guatemala",1992,"male",135
"Guatemala",1993,"female",30
"Guatemala",1993,"male",135
"Guatemala",1994,"female",20
"Guatemala",1994,"male",122
"Guatemala",1995,"female",47
"Guatemala",1995,"male",164
"Guatemala",1996,"female",33
"Guatemala",1996,"male",124
"Guatemala",1997,"female",44
"Guatemala",1997,"male",135
"Guatemala",1998,"female",45
"Guatemala",1998,"male",156
"Guatemala",1999,"female",42
"Guatemala",1999,"male",192
"Guatemala",2000,"female",40
"Guatemala",2000,"male",142
"Guatemala",2001,"female",52
"Guatemala",2001,"male",150
"Guatemala",2002,"female",64
"Guatemala",2002,"male",194
"Guatemala",2003,"female",53
"Guatemala",2003,"male",200
"Guatemala",2004,"female",66
"Guatemala",2004,"male",184
"Guatemala",2005,"female",61
"Guatemala",2005,"male",177
"Guatemala",2006,"female",71
"Guatemala",2006,"male",227
"Guatemala",2007,"female",64
"Guatemala",2007,"male",263
"Guatemala",2008,"female",121
"Guatemala",2008,"male",371
"Guatemala",2009,"female",145
"Guatemala",2009,"male",366
"Guatemala",2010,"female",82
"Guatemala",2010,"male",270
"Guatemala",2011,"female",108
"Guatemala",2011,"male",251
"Guatemala",2012,"female",110
"Guatemala",2012,"male",310
"Guatemala",2013,"female",124
"Guatemala",2013,"male",331
"Guatemala",2014,"female",156
"Guatemala",2014,"male",356
"Guatemala",2015,"female",144
"Guatemala",2015,"male",350
"Guyana",1988,"female",14
"Guyana",1988,"male",42
"Guyana",1989,"female",26
"Guyana",1989,"male",68
"Guyana",1990,"female",25
"Guyana",1990,"male",64
"Guyana",1991,"female",29
"Guyana",1991,"male",76
"Guyana",1992,"female",18
"Guyana",1992,"male",60
"Guyana",1993,"female",15
"Guyana",1993,"male",57
"Guyana",1994,"female",27
"Guyana",1994,"male",59
"Guyana",1995,"female",22
"Guyana",1995,"male",77
"Guyana",1996,"female",9
"Guyana",1996,"male",51
"Guyana",1997,"female",4
"Guyana",1997,"male",36
"Guyana",1998,"female",4
"Guyana",1998,"male",31
"Guyana",1999,"female",42
"Guyana",1999,"male",121
"Guyana",2001,"female",43
"Guyana",2001,"male",154
"Guyana",2002,"female",34
"Guyana",2002,"male",142
"Guyana",2003,"female",45
"Guyana",2003,"male",153
"Guyana",2004,"female",48
"Guyana",2004,"male",138
"Guyana",2005,"female",42
"Guyana",2005,"male",127
"Guyana",2006,"female",50
"Guyana",2006,"male",151
"Guyana",2007,"female",42
"Guyana",2007,"male",143
"Guyana",2008,"female",44
"Guyana",2008,"male",124
"Guyana",2009,"female",47
"Guyana",2009,"male",109
"Guyana",2010,"female",49
"Guyana",2010,"male",156
"Guyana",2011,"female",39
"Guyana",2011,"male",153
"Guyana",2012,"female",50
"Guyana",2012,"male",156
"Guyana",2013,"female",50
"Guyana",2013,"male",160
"Hungary",1991,"female",1113
"Hungary",1991,"male",2880
"Hungary",1992,"female",1061
"Hungary",1992,"male",2939
"Hungary",1993,"female",979
"Hungary",1993,"male",2715
"Hungary",1994,"female",898
"Hungary",1994,"male",2727
"Hungary",1995,"female",891
"Hungary",1995,"male",2475
"Hungary",1996,"female",916
"Hungary",1996,"male",2520
"Hungary",1997,"female",825
"Hungary",1997,"male",2383
"Hungary",1998,"female",777
"Hungary",1998,"male",2468
"Hungary",1999,"female",778
"Hungary",1999,"male",2548
"Hungary",2000,"female",806
"Hungary",2000,"male",2463
"Hungary",2001,"female",696
"Hungary",2001,"male",2282
"Hungary",2002,"female",647
"Hungary",2002,"male",2192
"Hungary",2003,"female",640
"Hungary",2003,"male",2160
"Hungary",2004,"female",655
"Hungary",2004,"male",2087
"Hungary",2005,"female",593
"Hungary",2005,"male",2026
"Hungary",2006,"female",600
"Hungary",2006,"male",1861
"Hungary",2007,"female",571
"Hungary",2007,"male",1879
"Hungary",2008,"female",566
